px1,py1,pz1,E1,px2,py2,pz2,E2
-25.4,35,86.3,96.6,25.4,-35,39.9,58.8
15.6,-33.5,15.3,40,-15.6,33.5,102,109
-12.7,16,112,114,12.7,-16,-11,23.2
13.2,42,-19.2,48.1,-13.2,-42,-42.4,61.1
-37,-4.41,77.4,85.9,37,4.41,156,161
-15.5,-36.3,166,171,15.5,36.3,469,471
23,-28.6,-80.3,88.3,-23,28.6,-380,382
-26.5,-31,-2.8,40.9,26.5,31,-34.9,53.7
37.3,-25.7,387,389,-37.3,25.7,549,551
24.2,11.2,168,170,-24.2,-11.2,1640,1650
-38.1,-10.8,-293,296,38.1,10.8,-890,891
4.74,28.8,-49.3,57.3,-4.74,-28.8,-61.8,68.3
18.7,-23.8,806,807,-18.7,23.8,109,113
6.85,41.3,516,518,-6.85,-41.3,1140,1140
-0.139,8.82,62.7,63.3,0.139,-8.82,-28.7,30
-14.3,-3.57,21.4,25.9,14.3,3.57,892,892
37.7,-13.5,-1380,1380,-37.7,13.5,-388,390
19,32.3,57.8,68.9,-19,-32.3,-1.59,37.5
4.46,16,35.8,39.5,-4.46,-16,969,970
-18.7,-41.4,995,996,18.7,41.4,1260,1260
16.5,28.1,-856,857,-16.5,-28.1,-158,161
18.6,-30.5,1860,1860,-18.6,30.5,536,538
-27.1,11.9,81.9,87.1,27.1,-11.9,533,534
26.7,26.2,29.2,47.5,-26.7,-26.2,-22.4,43.7
-28,-0.304,78.6,83.4,28,0.304,710,711
-43.7,-25.6,-88.4,102,43.7,25.6,-81,95.5
37.2,9.3,41.8,56.7,-37.2,-9.3,187,191
5.11,42.5,131,138,-5.11,-42.5,279,282
-40.7,-17.1,-112,121,40.7,17.1,-111,120
-9.84,-45,-74.5,87.6,9.84,45,-70.2,84
-37.6,-25.1,-141,148,37.6,25.1,-201,206
-12.8,44.2,584,586,12.8,-44.2,442,444
-44.1,10.3,-610,612,44.1,-10.3,-502,504
12.4,-31.6,-115,120,-12.4,31.6,-610,611
-38.4,-11,35,53.1,38.4,11,108,115
-26.4,12,191,193,26.4,-12,1520,1520
13.7,28.9,-481,482,-13.7,-28.9,-76.8,83.2
26,-24.1,177,181,-26,24.1,75.2,83.2
0.704,-43.6,89.4,99.4,-0.704,43.6,39.4,58.7
16.3,-5.65,-673,673,-16.3,5.65,-23.4,29.1
-28.1,-25.5,260,263,28.1,25.5,899,899
-28.6,-6.23,-10,31,28.6,6.23,67.6,73.7
9.56,28.6,-38.4,48.8,-9.56,-28.6,28.1,41.2
-16,-40.9,-283,287,16,40.9,-186,191
-7.19,-24.5,897,897,7.19,24.5,74.3,78.6
-28.7,-26.1,213,216,28.7,26.1,698,699
29.9,26.1,-12.3,41.5,-29.9,-26.1,42.7,58.2
-32.3,32,-1290,1300,32.3,-32,-923,924
39.6,11.7,372,374,-39.6,-11.7,165,170
-13.9,-8.57,60.8,63,13.9,8.57,-28.3,32.7
-14.1,11.9,124,125,14.1,-11.9,-10.8,21.4
43.9,9.52,-2.84,45,-43.9,-9.52,-12.4,46.6
-6.86,24.7,228,230,6.86,-24.7,12.2,28.4
-13.1,31.2,-91.2,97.3,13.1,-31.2,-516,517
-23.5,47.5,-343,347,23.5,-47.5,-284,289
43.8,-2.96,1430,1430,-43.8,2.96,2190,2190
-19.4,40.5,253,257,19.4,-40.5,297,301
-28.3,-33.9,-773,774,28.3,33.9,-425,428
11.5,-30,159,162,-11.5,30,935,935
7.7,-45.3,1120,1120,-7.7,45.3,1150,1150
-9.97,-27,-243,244,9.97,27,-24.4,37.8
-18.1,36.2,-1390,1390,18.1,-36.2,-622,623
-22.8,-38.4,-171,177,22.8,38.4,-248,252
9.93,4.96,-324,324,-9.93,-4.96,0.567,11.1
35.2,-1.48,82.3,89.5,-35.2,1.48,3.59,35.4
32.2,-6.92,0.611,33,-32.2,6.92,-83.3,89.6
36.3,8.87,12.3,39.3,-36.3,-8.87,89.6,97
10.9,33.5,48.4,59.9,-10.9,-33.5,-11.9,37.2
-21.5,-23.2,106,111,21.5,23.2,4.25,31.9
22.2,-16,-99.3,103,-22.2,16,-964,965
-13.9,-39.8,-743,745,13.9,39.8,-328,331
-26.2,35.6,-659,661,26.2,-35.6,-1080,1080
30.2,-19.4,14.6,38.8,-30.2,19.4,-58.3,68.4
-40.7,-13.1,-681,682,40.7,13.1,-1030,1030
-10.3,27.9,-219,221,10.3,-27.9,-1540,1540
26.6,-10.2,147,150,-26.6,10.2,0.817,28.5
-28.1,-17.5,141,145,28.1,17.5,768,768
14.3,22,31.9,41.3,-14.3,-22,-47.9,54.6
-30.9,27,-750,751,30.9,-27,-284,287
39,31,-74.8,89.9,-39,-31,-226,231
-21.6,23,-216,218,21.6,-23,-29,42.8
-27.4,20.8,-63.8,72.4,27.4,-20.8,-308,310
38.9,0.422,184,188,-38.9,-0.422,363,365
-8.15,-44.1,-100,110,8.15,44.1,-71.5,84.4
-23.6,28.2,-1.94,36.8,23.6,-28.2,-71.7,80.6
3.89,7.93,-29,30.3,-3.89,-7.93,-3290,3290
-25.3,-36.3,-149,156,25.3,36.3,-92.5,103
-3.67,6.21,-61.4,61.8,3.67,-6.21,16.2,17.7
-35.3,-26.5,-42.5,61.3,35.3,26.5,-62.3,76.4
-10.5,-41.1,-39.2,57.8,10.5,41.1,-126,133
13.1,-23,-79.6,83.9,-13.1,23,-787,788
22.7,-5.64,-1530,1530,-22.7,5.64,-126,128
-24,-33,208,211,24,33,452,454
14.1,-18.3,13.8,26.9,-14.1,18.3,185,186
31.4,-8.16,293,295,-31.4,8.16,48,57.9
-30.3,-24.6,37.6,54.2,30.3,24.6,132,137
11.7,-18.3,164,165,-11.7,18.3,2330,2330
19.9,11,55.4,59.9,-19.9,-11,830,830
-18.2,-17.8,230,231,18.2,17.8,13.4,28.8
36.1,-22.6,505,507,-36.1,22.6,966,967
-25.7,-5.01,781,782,25.7,5.01,73.6,78.2
-41.8,-5.91,-66.8,79,41.8,5.91,-40.9,58.8
33.5,-19.5,359,361,-33.5,19.5,1010,1010
-24.6,-30.3,-55.9,68.2,24.6,30.3,-193,196
17.7,40.1,-63.6,77.3,-17.7,-40.1,-24.5,50.2
-14.5,3.79,4.3,15.6,14.5,-3.79,-191,191
25.8,3.87,-156,158,-25.8,-3.87,-1580,1580
34.8,26.3,-29,52.4,-34.8,-26.3,-1.69,43.7
-10.4,5.1,-220,220,10.4,-5.1,8.59,14.4
-37.4,11.1,114,120,37.4,-11.1,28.9,48.6
18.1,-44.2,-1400,1400,-18.1,44.2,-2100,2100
-2.97,15.9,77.5,79.2,2.97,-15.9,2630,2630
37.9,8.43,-904,905,-37.9,-8.43,-300,303
35.6,-12,66.2,76.2,-35.6,12,-1.57,37.7
19.5,30.6,-1490,1490,-19.5,-30.6,-316,319
-1.69,-28.5,32,42.9,1.69,28.5,-41.7,50.5
26.6,-27,-429,431,-26.6,27,-1590,1590
31.9,-8.66,46.4,56.9,-31.9,8.66,308,310
1.5,-20.9,-15.3,26,-1.5,20.9,83.5,86.1
-31.7,7.17,652,653,31.7,-7.17,115,120
-19.1,0.923,-814,814,19.1,-0.923,-36.9,41.5
20.5,-30,187,191,-20.5,30,36.4,51.4
33.6,-7.92,44.9,56.6,-33.6,7.92,0.0612,34.5
30.7,31.5,-1130,1130,-30.7,-31.5,-600,602
11.4,-9.04,-29.7,33.1,-11.4,9.04,65.5,67.1
-0.0952,-21.7,13.1,25.3,0.0952,21.7,-94.8,97.3
27.8,10,-290,292,-27.8,-10,-35.6,46.3
1.17,-24.7,-21.5,32.8,-1.17,24.7,63.8,68.5
31.8,-12.7,15.9,37.7,-31.8,12.7,137,141
-18.3,31.3,119,124,18.3,-31.3,503,504
-39.7,8.75,184,188,39.7,-8.75,506,507
-24.9,-38.5,593,595,24.9,38.5,670,672
-9.73,-21.5,-3.17,23.8,9.73,21.5,135,137
3.22,22.8,-37.9,44.4,-3.22,-22.8,-546,547
-1.09,20.3,-20.5,28.9,1.09,-20.3,-392,393
42.2,11.1,172,177,-42.2,-11.1,303,306
37.3,-26.8,-130,138,-37.3,26.8,-114,123
-8.31,-20,-119,121,8.31,20,-1910,1910
21.9,10.6,3.22,24.6,-21.9,-10.6,-93.4,96.5
2.33,-42.7,-11.4,44.2,-2.33,42.7,22.5,48.3
16.2,-13,17.6,27.3,-16.2,13,460,460
46.8,3.86,66.1,81.1,-46.8,-3.86,40.3,61.9
-20.1,-41.3,-74.8,87.8,20.1,41.3,-44.1,63.7
28.4,-31.1,10.2,43.3,-28.4,31.1,-21.5,47.2
-42.7,23.3,138,147,42.7,-23.3,316,320
-14.9,-32.2,881,882,14.9,32.2,200,203
-17.4,-31,115,121,17.4,31,561,563
-39.1,14.8,83,93,39.1,-14.8,34.5,54.2
-38,21.1,-48.8,65.3,38,-21.1,-92.5,102
-27.2,36.1,166,172,27.2,-36.1,167,173
-25.1,-7.98,-138,141,25.1,7.98,-1440,1440
26.9,35.8,86.5,97.4,-26.9,-35.8,128,136
-13.9,35.3,200,204,13.9,-35.3,692,693
31.9,-20.9,-50.7,63.4,-31.9,20.9,-124,130
-29.6,18.7,487,488,29.6,-18.7,110,115
36.3,9.06,18.5,41.7,-36.3,-9.06,112,118
3.05,-7.46,201,201,-3.05,7.46,-8.3,11.6
40.9,-3.53,60.7,73.3,-40.9,3.53,180,185
-42.5,5.52,278,281,42.5,-5.52,126,133
14.9,-15.2,-26.3,33.8,-14.9,15.2,56.2,60.1
-27.1,36,-104,114,27.1,-36,-155,161
1.93,-17.5,134,135,-1.93,17.5,-7.7,19.2
-10.1,-20.7,134,136,10.1,20.7,751,752
-15.5,25.5,-11.1,31.8,15.5,-25.5,-180,183
-45,4.57,25.7,52,45,-4.57,14.5,47.5
-11.9,36.2,274,276,11.9,-36.2,50.5,63.3
-38.8,21,59.9,74.4,38.8,-21,140,147
